MLA Name,Split,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,AUC_train,AUC_test,Balanced Accuracy_train,Balanced Accuracy_test
RandomForestClassifier_RFE_20_None,2.0,0.8023391812865498,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.6599999999999999,0.7333333333333334,0.5,0.5
XGBClassifier_MutualInfo_15_ADASYN,4.0,0.8859770114942528,0.6956521739130435,0.8673809523809524,0.375,0.9216666666666666,0.6,0.8912800417972833,0.46153846153846156,0.9553888888888888,0.7333333333333334,0.8851190476190475,0.6611111111111111
RandomForestClassifier_MutualInfo_15_ADASYN,4.0,0.9199999999999999,0.7391304347826086,0.9025000000000001,0.4,0.9475,0.4,0.9232966764418379,0.4,0.9710912698412699,0.7333333333333333,0.9199404761904763,0.6166666666666667
RandomForestClassifier_MutualInfo_10_SMOTE,9.0,0.8970114942528735,0.6956521739130435,0.906415643180349,0.0,0.8895238095238096,0.0,0.894600187745349,0.0,0.9481587301587302,0.7277777777777779,0.8971428571428571,0.4444444444444444
SVC_None_10_RandomUnderSampler,6.0,0.5285714285714285,0.21739130434782608,0.5199999999999999,0.11764705882352941,0.55,0.4,0.5285714285714285,0.18181818181818182,0.4625,0.7222222222222223,0.525,0.2833333333333333
SVC_None_10_None,8.0,0.7918128654970761,0.782608695652174,0.2,0.0,0.06666666666666667,0.0,0.1,0.0,0.30817460317460316,0.7222222222222223,0.5195238095238095,0.5
RandomForestClassifier_MutualInfo_10_BorderlineSMOTE,7.0,0.9248275862068965,0.8260869565217391,0.8955555555555555,1.0,0.9733333333333334,0.2,0.9296917450365726,0.3333333333333333,0.971936507936508,0.7222222222222223,0.9261904761904762,0.6
LogisticRegression_MutualInfo_25_RandomUnderSampler,4.0,0.6178571428571429,0.6521739130434783,0.6133333333333333,0.38461538461538464,0.6,1.0,0.6022222222222222,0.5555555555555556,0.675,0.7222222222222223,0.6083333333333332,0.7777777777777778
XGBClassifier_MutualInfo_10_ADASYN,4.0,0.8926436781609197,0.6956521739130435,0.8748039215686274,0.375,0.9208333333333334,0.6,0.8967204301075269,0.46153846153846156,0.9524246031746031,0.7222222222222223,0.8923214285714287,0.6611111111111111
LogisticRegression_MutualInfo_15_RandomUnderSampler,9.0,0.6857142857142857,0.5217391304347826,0.8333333333333333,0.2857142857142857,0.55,0.8,0.6133333333333333,0.42105263157894735,0.7333333333333333,0.7222222222222222,0.6833333333333333,0.6222222222222222
LogisticRegression_MutualInfo_10_SMOTE,9.0,0.6367816091954023,0.6086956521739131,0.6200412796697627,0.3,0.7266666666666667,0.6,0.6671212121212121,0.4,0.6053333333333334,0.7222222222222222,0.6380952380952382,0.6055555555555556
LogisticRegression_MutualInfo_15_SMOTE,9.0,0.636551724137931,0.5652173913043478,0.6115032679738562,0.3076923076923077,0.7533333333333334,0.8,0.6745328864683703,0.4444444444444444,0.5699682539682539,0.7222222222222222,0.6361904761904762,0.65
SVC_MutualInfo_15_RandomUnderSampler,3.0,0.5071428571428571,0.34782608695652173,0.5166666666666666,0.14285714285714285,0.4666666666666666,0.4,0.43,0.21052631578947367,0.5291666666666667,0.7222222222222222,0.525,0.3666666666666667
XGBClassifier_MutualInfo_10_ADASYN,7.0,0.8894088669950738,0.782608695652174,0.8902380952380952,0.5,0.8895238095238096,0.2,0.8875382089175192,0.2857142857142857,0.9236054421768708,0.7222222222222222,0.8895238095238096,0.5722222222222222
RandomForestClassifier_None_10_SMOTE,6.0,0.9586206896551724,0.782608695652174,0.9714285714285715,0.0,0.945714285714286,0.0,0.9581280788177342,0.0,0.9714285714285715,0.7222222222222222,0.9590476190476191,0.5
RandomForestClassifier_None_10_SMOTE-TOMEK,6.0,0.9586206896551724,0.782608695652174,0.9714285714285715,0.0,0.945714285714286,0.0,0.9581280788177342,0.0,0.9714285714285715,0.7222222222222222,0.9590476190476191,0.5
RandomForestClassifier_RFE_25_SMOTE,6.0,0.9172413793103449,0.782608695652174,0.9324999999999999,0.0,0.9057142857142857,0.0,0.9164009393152887,0.0,0.9676190476190477,0.7111111111111111,0.9176190476190476,0.5
XGBClassifier_RFE_25_None,6.0,0.7707602339181286,0.7391304347826086,0.13333333333333333,0.3333333333333333,0.1,0.2,0.11428571428571428,0.25,0.49642857142857144,0.7111111111111111,0.5161904761904762,0.5444444444444444
