MLA Name,Split,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,AUC_train,AUC_test,Balanced Accuracy_train,Balanced Accuracy_test
LogisticRegression_MutualInfo_10_BorderlineSMOTE,4.5,0.7001379310344827,0.5043478260869565,0.6805594588141701,0.10111111111111111,0.7701904761904762,0.22000000000000003,0.7185052187378792,0.13463659147869672,0.7420126984126985,0.38222222222222224,0.7003333333333333,0.40166666666666667
SVC_MutualInfo_15_SMOTE-TOMEK,4.5,0.8999310344827587,0.6347826086956522,0.873954667967052,0.11583333333333332,0.9446666666666668,0.13999999999999999,0.9051253323729933,0.12473970473970475,0.9491174603174602,0.38222222222222224,0.8995238095238095,0.4561111111111111
LogisticRegression_RFE_20_RandomUnderSampler,4.5,0.8389285714285715,0.4478260869565217,0.8786666666666665,0.18627344877344876,0.8183333333333334,0.42000000000000004,0.8268571428571428,0.2525548390452819,0.8829166666666666,0.3811111111111111,0.8399999999999999,0.4377777777777778
XGBClassifier_RFE_25_ADASYN,4.5,0.8893965252396843,0.6260869565217392,0.8754151470304722,0.05,0.91525,0.02,0.8928505405681679,0.02857142857142857,0.9466761904761904,0.38,0.8891488095238096,0.4072222222222222
RandomForestClassifier_RFE_25_ADASYN,4.5,0.9283669685894381,0.6956521739130435,0.9306802838544325,0.15,0.929595238095238,0.04,0.9280717424231592,0.06190476190476191,0.9706027210884354,0.38,0.9278452380952382,0.45888888888888885
RandomForestClassifier_RFE_10_SMOTE-TOMEK,4.5,0.8966666666666667,0.6521739130434783,0.8894444804421585,0.1569047619047619,0.9154285714285715,0.14,0.8989859673010363,0.145,0.950368253968254,0.37888888888888894,0.8966190476190476,0.46722222222222226
RandomForestClassifier_RFE_10_SMOTE,4.5,0.8966666666666667,0.6521739130434783,0.8894444804421585,0.1569047619047619,0.9154285714285715,0.14,0.8989859673010363,0.145,0.950368253968254,0.37888888888888894,0.8966190476190476,0.46722222222222226
SVC_RFE_25_RandomUnderSampler,4.5,0.8121428571428572,0.4,0.8426666666666666,0.1523207184971891,0.8166666666666667,0.38,0.8025714285714285,0.21665181224004754,0.8579166666666665,0.37888888888888894,0.8149999999999998,0.3927777777777778
XGBClassifier_RFE_20_BorderlineSMOTE,4.5,0.8797241379310344,0.6652173913043479,0.8685559411348885,0.08666666666666667,0.9045714285714286,0.06000000000000001,0.8836009360016754,0.06999999999999999,0.9453079365079367,0.3788888888888889,0.8799047619047619,0.44666666666666666
XGBClassifier_RFE_10_ADASYN,4.5,0.8675080247894487,0.6086956521739131,0.8382237012213792,0.14095238095238097,0.923702380952381,0.16,0.8759270961571067,0.1481818181818182,0.9265275510204083,0.37777777777777777,0.8673273809523809,0.44666666666666666
SVC_RFE_20_RandomUnderSampler,4.5,0.8400000000000001,0.42608695652173917,0.876,0.1634290546055252,0.8300000000000001,0.38,0.8311904761904761,0.22520690094219503,0.9033333333333333,0.37777777777777777,0.8441666666666666,0.4094444444444444
